replication_id,margin,voll_multiplier,voll,model,theta,mean_loss,total_shortage_mw,total_emergency_mw,mean_decision_cost
E2017,1.0,2.0,20000.0,ENTSOE,0.1,2764262.044531403,21522.609200353574,369794.58352188463,1588163.1811241042
E2017,1.0,2.0,20000.0,ENTSOE,0.125,2731067.4637399227,16981.660913358748,427926.7520757955,1803107.8509880786
E2017,1.0,2.0,20000.0,ENTSOE,0.15,2777156.2431823597,13693.420942435063,489052.63605052105,2028881.8747432851
E2017,1.0,2.0,20000.0,ENTSOE,0.175,2889250.8476057267,11411.877824160823,553165.7095601404,2265650.966504042
E2017,1.0,2.0,20000.0,ENTSOE,0.2,3040119.040849228,9623.655574571443,620457.1578338735,2514236.2225666353
E2017,1.0,2.0,20000.0,ENTSOE,0.225,3226814.204837975,8188.038628126438,692359.8589045939,2779380.4000223232
E2017,1.0,2.0,20000.0,ENTSOE,0.25,3426622.312166103,6674.2858627506885,769130.1518059756,3061907.2376988526
E2017,1.0,2.0,20000.0,ENTSOE,0.275,3663941.633661203,5559.744725508559,850256.35958424,3360130.446474943
E2017,1.0,2.0,20000.0,ENTSOE,0.3,3917280.383025347,4423.41160350117,936250.1554658334,3675563.9019597084
E2017,1.0,2.0,20000.0,SARIMAX,-0.3,41031970.045684755,747908.1764101731,0.0,162670.78829825032
E2017,1.0,2.0,20000.0,SARIMAX,-0.275,38040881.82658685,693076.2506061009,0.0,167862.66778352324
E2017,1.0,2.0,20000.0,SARIMAX,-0.25,35006936.51233341,637456.7133797866,0.0,173236.32764561716
E2017,1.0,2.0,20000.0,SARIMAX,-0.225,31943622.722567033,581294.2237859939,0.0,178911.04027228884
E2017,1.0,2.0,20000.0,SARIMAX,-0.2,28840055.90517484,524384.5506607112,0.0,185162.4264474493
E2017,1.0,2.0,20000.0,SARIMAX,-0.175,25777417.78984083,468189.6103309846,298.69421122795575,193286.07776516888
E2017,1.0,2.0,20000.0,SARIMAX,-0.15,22710541.111524154,411695.19914038817,3742.2014705458832,213535.69401660503
E2017,1.0,2.0,20000.0,SARIMAX,-0.125,19637162.191255383,354808.29864594236,11134.415732994694,248730.57125853587
E2017,1.0,2.0,20000.0,SARIMAX,-0.1,16579820.144470096,297598.0736736436,28162.745537731207,317630.3262382049
E2017,1.0,2.0,20000.0,SARIMAX,-0.075,13607177.407828294,241540.93148309182,51281.927431483484,408219.4032877604
E2017,1.0,2.0,20000.0,SARIMAX,-0.05,10868425.038753914,189286.0708498773,82042.90512930296,524923.8994163581
E2017,1.0,2.0,20000.0,SARIMAX,-0.025,8561919.421773933,144738.5873325972,115913.33865994189,652706.9992276381
E2017,1.0,2.0,20000.0,SARIMAX,0.0,6768041.140184947,109478.83123497579,150856.46069448988,785591.3459239749
E2017,1.0,2.0,20000.0,SARIMAX,0.025,5551269.84367825,84477.86263443436,190317.3210054466,934993.1969878486
E2017,1.0,2.0,20000.0,SARIMAX,0.05,4665797.2583808955,65108.3988652139,236389.1481128818,1107961.2548172951
E2017,1.0,2.0,20000.0,SARIMAX,0.075,3851176.8393391278,46635.834947690004,288507.10560805874,1302770.558044592
E2017,1.0,2.0,20000.0,SARIMAX,0.1,3104064.021888754,28970.25364879409,347135.400758652,1520990.052009296
E2017,1.0,2.0,20000.0,SARIMAX,0.125,2501154.0582496827,13455.90173797351,413282.77781657386,1765858.8813112401
E2017,1.0,2.0,20000.0,SARIMAX,0.15,2212367.9628190068,3242.594336682574,486306.63106599805,2035177.0154593037
E2017,1.0,2.0,20000.0,SARIMAX,0.175,2362601.557130857,639.4427467726146,565816.2606984986,2327659.3305312605
E2017,1.0,2.0,20000.0,SARIMAX,0.2,2649564.8485394423,91.0280524937898,652393.9686015423,2644590.6380206556
E2017,1.0,2.0,20000.0,SARIMAX,0.225,2978036.90973055,0.0,743712.500479433,2978036.90973055
E2017,1.0,2.0,20000.0,SARIMAX,0.25,3320006.5999685414,0.0,837366.5103526289,3320006.5999685414
E2017,1.0,2.0,20000.0,SARIMAX,0.275,3670633.294130611,0.0,933391.3827733613,3670633.294130611
E2017,1.0,2.0,20000.0,SARIMAX,0.3,4030136.1453144774,0.0,1031847.1364127679,4030136.1453144774
E2017,1.0,2.0,20000.0,LSTM,-0.3,42146461.40418155,768334.2579468132,0.0,160982.82785295794
E2017,1.0,2.0,20000.0,LSTM,-0.275,39172885.41818619,713824.7082692925,0.0,166070.75866200257
E2017,1.0,2.0,20000.0,LSTM,-0.25,36135682.53197155,658146.2994806018,0.0,171403.87182937918
E2017,1.0,2.0,20000.0,LSTM,-0.225,33009750.25015486,600838.0874173227,0.0,177067.87762356445
E2017,1.0,2.0,20000.0,LSTM,-0.2,29864490.854434825,543167.8488518535,20.55715023686298,183187.63848653575
E2017,1.0,2.0,20000.0,LSTM,-0.175,26654147.053852007,484254.1824936828,541.2235084076556,192169.86840486008
E2017,1.0,2.0,20000.0,LSTM,-0.15,23384999.640319172,424102.78783997905,3183.5456100150377,209983.91135857115
E2017,1.0,2.0,20000.0,LSTM,-0.125,20052956.010929216,362340.8283165911,12867.036064362856,252910.74772751774
E2017,1.0,2.0,20000.0,LSTM,-0.1,16678062.434456505,299317.68839676713,29926.27862258752,321904.5985675896
E2017,1.0,2.0,20000.0,LSTM,-0.075,13302028.81654239,235879.05516845424,52848.6552223257,412462.96034270443
